analysis,created_time,favorite_count,full_text,polarity,retweet_count,tweet_id,user_id,username,clean_text
positive,2021-05-01 22:18:22,0,You are correct but you are only seeing one part of a litany of litigation going on due to the intellectual property theft of mRNA delivery system by Moderna,0.0583333333,0,1388679224895033349,1349799240,Markandstacey,You correct seeing one part litany litigation going due intellectual property theft mRNA delivery system Moderna
positive,2021-04-30 13:31:00,2,Everyone told me you got to choose which vaccine you wanted but Kaiser gave me moderna Lmao,0.6,0,1388184120065363968,86794187,aleJOHNdra_,Everyone told got choose vaccine wanted Kaiser gave moderna Lmao
negative,2021-05-01 10:52:33,2,MSM ADMITS IT Period changes possible after getting COVID 19 vaccine A little after a week after this first Moderna dose and I had never had a period that was so heavy not even in my 20s when I was having a really heavy cycle Clancy said,-0.0675,1,1388506633488175108,214720764,CheerVid,MSM ADMITS IT Period changes possible getting COVID 19 vaccine A little week first Moderna dose I never period heavy even 20s I really heavy cycle Clancy said
positive,2021-05-01 21:31:27,0,No one funded SII or Bharat biotech including Indian Govt to find a vaccine They invested their Own money amp took risk While Pfizer moderna Oxford Uni etc were funded in Billions by US amp UK govt to do vaccine research amp cure We need to understand this diff,0.6,0,1388667416780034050,767190269204705281,nityarao1947,No one funded SII Bharat biotech including Indian Govt find vaccine They invested Own money amp took risk While Pfizer moderna Oxford Uni etc funded Billions US amp UK govt vaccine research amp cure We need understand diff
positive,2021-05-03 14:13:25,0,I was about to make a spelling joke too or compare it to McDowell s in Coming to America vs McDonald s there s Janssen and then there s Janseen So glad you got your shot got my first Moderna this past Saturday,0.1666666667,0,1389281961785561089,94460717,mlswatts,I make spelling joke compare McDowell Coming America vs McDonald Janssen Janseen So glad got shot got first Moderna past Saturday
negative,2021-05-02 12:37:27,0,Chemo is just as bad and worse The same producer of the vaccine makes the chemo moderna theyre all meant to hurt us not help us,-0.3666666667,0,1388895419221135363,485885725,rawsubstancepro,Chemo bad worse The producer vaccine makes chemo moderna theyre meant hurt us help us
positive,2021-04-30 19:08:13,0,Vaccine appointments are available at NYC Health Dept Fort Greene Clinic Moderna 295 Flatbush Ave 5th floor Brooklyn NY 11201 877 829 4692,0.4,0,1388268986236915713,1375448650365739010,nyc_vaccine,Vaccine appointments available NYC Health Dept Fort Greene Clinic Moderna 295 Flatbush Ave 5th floor Brooklyn NY 11201 877 829 4692
neutral,2021-05-04 13:19:46,0,Which research Is it ComCoV in UK with Pfizer AZ Moderna Novavax Or different study If later Who is doing Where What vaccines age groups involved COVID19SL Cocktail of COVID vaccine a possibility based on results of research Sudarshani,0.0,0,1389630845875494913,1574663774,CRdelaharpe,Which research Is ComCoV UK Pfizer AZ Moderna Novavax Or different study If later Who Where What vaccines age groups involved COVID19SL Cocktail COVID vaccine possibility based results research Sudarshani
positive,2021-05-03 19:17:10,192,I m getting my second covid shot tomorrow Moderna and I am VERY EXCITED for immunity and very nervous about feeling miserable after What are your best tips for proactively reducing post vaccine misery,0.1375,0,1389358402929897473,33037652,navahw,I getting second covid shot tomorrow Moderna I VERY EXCITED immunity nervous feeling miserable What best tips proactively reducing post vaccine misery
positive,2021-04-30 19:19:45,3,4 vaccines booked 1 more to go With the combined power of Pfizer Moderna AstraZeneca Janssen and soon Novavax I shall attain the power I long for Perfectly Balanced As all things should be,0.4833333333,0,1388271889483800580,145219828,captaindaniii,4 vaccines booked 1 go With combined power Pfizer Moderna AstraZeneca Janssen soon Novavax I shall attain power I long Perfectly Balanced As things
positive,2021-04-28 12:52:37,1,OMNI is offering Moderna vaccine at its mass vaccination site located at 1344 Apollo Blvd second floor Anyone over the age of 18 is now eligible to receive it No appointment is necessary Walk ins are welcome Hours are Monday through Friday from 8 a m to 5 p m,0.2666666667,3,1387449685456080898,1306409886390071297,OMNI_Healthcare,OMNI offering Moderna vaccine mass vaccination site located 1344 Apollo Blvd second floor Anyone age 18 eligible receive No appointment necessary Walk ins welcome Hours Monday Friday 8 5 p
positive,2021-04-30 17:35:39,2,University Hospital is holding a free first OR second dose Moderna clinic for Georgia residents 18 Friday May 14 at Augusta Tech 3200 Augusta Tech Dr Register today at,0.2166666667,1,1388245689935802369,142529933,univ_hospital,University Hospital holding free first OR second dose Moderna clinic Georgia residents 18 Friday May 14 Augusta Tech 3200 Augusta Tech Dr Register today
neutral,2021-04-28 17:35:43,0,So I still don t know anyone who has had the chinese virus but I do know someone who has been hospitalized with blood clots after taking the moderna vaccine,0.0,2,1387520929526206467,1152391195995197440,Anonymo21321693,So I still know anyone chinese virus I know someone hospitalized blood clots taking moderna vaccine
positive,2021-04-30 19:09:05,0,Vaccine appointments are available at Rite Aid Pharmacy Moderna 4046 Broadway Manhattan NY 10032,0.4,0,1388269204487512067,1375448650365739010,nyc_vaccine,Vaccine appointments available Rite Aid Pharmacy Moderna 4046 Broadway Manhattan NY 10032
negative,2021-04-30 18:32:43,27,I m more than 48 hours past my second Moderna vaccine The second shot was brutal but it was very important That response meant that my body recognized the virus and was well equipped to produce antibodies Don t skip your second dose,-0.015,6,1388260051375304708,42343812,CrispinBurke,I 48 hours past second Moderna vaccine The second shot brutal important That response meant body recognized virus well equipped produce antibodies Don skip second dose
positive,2021-05-03 18:06:10,0,Breaking Melinda Gates leaves Bill Gates because his penis is Micro amp Soft gates divorce Trump Biden vaccine vaccinated covid moderna Pfizer,0.1,0,1389340534611791874,1227625316690153472,Theyliveisright,Breaking Melinda Gates leaves Bill Gates penis Micro amp Soft gates divorce Trump Biden vaccine vaccinated covid moderna Pfizer
negative,2021-04-30 19:55:13,6,I m in line to get Moderna shot number two I m down as long as it s scheduled for next week after my vaccine symptoms are over with,-0.0685185185,0,1388280814710841344,1673865013,LMegaparsec,I line get Moderna shot number two I long scheduled next week vaccine symptoms
neutral,2021-05-01 03:03:45,0,WHO approves Moderna s COVID 19 vaccine for emergency use Approval comes as cases surge around the world putting pressure on governments to accelerate vaccination programmes,0.0,0,1388388658386976770,302318216,deji_of_lagos,WHO approves Moderna COVID 19 vaccine emergency use Approval comes cases surge around world putting pressure governments accelerate vaccination programmes
neutral,2021-04-30 11:34:47,12,id like to thank our lord and savior for the moderna vaccine amen,0.0,0,1388154874970451969,803713478808760321,meganmckinley23,id like thank lord savior moderna vaccine amen
positive,2021-04-30 18:12:32,2,As of this past Tuesday I m a proud and very happy recipient of my 2nd Moderna vaccine The feeling of being fully vaccinated is unbelievable I couldn t be happier GetVaccinated,0.26,0,1388254972295454720,202653831,bichonsandabc,As past Tuesday I proud happy recipient 2nd Moderna vaccine The feeling fully vaccinated unbelievable I happier GetVaccinated
positive,2021-05-04 13:31:25,0,I may have Covid Arm which is a reaction to the Moderna vaccine Something to note one of my covid symptoms in March was a splotchy itchy red rash all over my body Guess I shouldn t be surprised I m itchy and red now,0.033333333300000004,0,1389633779396972551,3194722591,whoviankaleigh,I may Covid Arm reaction Moderna vaccine Something note one covid symptoms March splotchy itchy red rash body Guess I surprised I itchy red
negative,2021-04-29 11:29:38,1,Moderna and Pfizer developed the COVID 19 vaccine in less than 48 hours,-0.033333333300000004,0,1387791192243404804,286994934,darachm,Moderna Pfizer developed COVID 19 vaccine less 48 hours
positive,2021-05-04 16:27:28,1,Evidence of vaccine escape Apparently Singapore uses exclusively Pfizer and Moderna,0.05,2,1389678084178288640,919886905508057088,dolmenman1,Evidence vaccine escape Apparently Singapore uses exclusively Pfizer Moderna
negative,2021-04-28 13:10:41,81,Day 2 after Moderna vaccine number 2 Slight headache slightly tired slightly sore arm Being monitored by Dr Cosy No worries All good,-0.008333333299999999,0,1387454233503481858,69574210,WesJohnsonVoice,Day 2 Moderna vaccine number 2 Slight headache slightly tired slightly sore arm Being monitored Dr Cosy No worries All good
neutral,2021-04-28 15:12:57,0,Me wondering if I need to get a moderna vaccine now,0.0,0,1387485003223736327,1382679126,AJStillDontCare,Me wondering I need get moderna vaccine
positive,2021-05-01 15:21:30,3,A good thread explaining mechanism of vaccines explained in very lucid way Do checkout the Reuters infographic illustration given in thread as well Covaxin Covishield Moderna Pfizer COVID19 vaccine,0.45,0,1388574318146179072,34236801,tuktukut,A good thread explaining mechanism vaccines explained lucid way Do checkout Reuters infographic illustration given thread well Covaxin Covishield Moderna Pfizer COVID19 vaccine
positive,2021-05-03 13:26:01,44,No I was enrolled in the Moderna phase 3 trial I am still part of the trial but it is different now You would know if you were part of the trial You have a lot more information when you got to get your vaccine Get vaccinated so we can all live again,0.2121212121,0,1389270032136474626,3923067676,ErinODPhoto,No I enrolled Moderna phase 3 trial I still part trial different You would know part trial You lot information got get vaccine Get vaccinated live
neutral,2021-04-28 14:22:38,0,A4 pt 2 1230 Q4 How does the Johnson amp Johnson Janssen vaccine efficacy and safety compare to the mRNA Pfizer and Moderna vaccines efficacy and safety RealTimeVaccineChat,0.0,0,1387472341609947140,17140902,APIC,A4 pt 2 1230 Q4 How Johnson amp Johnson Janssen vaccine efficacy safety compare mRNA Pfizer Moderna vaccines efficacy safety RealTimeVaccineChat
negative,2021-05-01 23:11:13,0,4 Authorised for use in the European Union Comirnaty pfizer COVID 19 Vaccine Moderna Vaxzevria previously COVID 19 Vaccine AstraZeneca COVID 19 Vaccine Janssen,-0.0833333333,1,1388692527176294400,343850771,Jamon146,4 Authorised use European Union Comirnaty pfizer COVID 19 Vaccine Moderna Vaxzevria previously COVID 19 Vaccine AstraZeneca COVID 19 Vaccine Janssen
positive,2021-05-04 17:51:14,1,I received my second dose of the Moderna vaccine today Lookout world i e friends and family who ve built up an outstanding debt of overdue hugs vaccinated stillwearingamask stilldistancing,0.25,1,1389699161994534918,1110006001913221120,boirdgoirl,I received second dose Moderna vaccine today Lookout world e friends family built outstanding debt overdue hugs vaccinated stillwearingamask stilldistancing
positive,2021-05-02 11:26:56,0,HUGE EXCLUSIVE US Dr Ralph Baric Was Reviewing Moderna and Dr Fauci s Coronavirus Vaccine in December 2019 What s Going On via,0.4,0,1388877674291113988,479797692,UtherDraco,HUGE EXCLUSIVE US Dr Ralph Baric Was Reviewing Moderna Dr Fauci Coronavirus Vaccine December 2019 What Going On via
positive,2021-04-30 19:09:06,0,Vaccine appointments are available at Rite Aid Pharmacy Moderna 4159 White Plains Road Bronx NY 10466,0.2,0,1388269205938659331,1375448650365739010,nyc_vaccine,Vaccine appointments available Rite Aid Pharmacy Moderna 4159 White Plains Road Bronx NY 10466
positive,2021-05-02 05:02:01,0,Thank you for this wonderful interview I really enjoyed it But on the progress theme I have two questions 1 In my country Germany the traditional vaccine Astrazeneca is currently much more available than the new mRNA vaccines from Biontech Moderna It did not matter that,0.4227272727000001,0,1388780809524551681,2831385319,benberger84,Thank wonderful interview I really enjoyed But progress theme I two questions 1 In country Germany traditional vaccine Astrazeneca currently much available new mRNA vaccines Biontech Moderna It matter
positive,2021-05-04 19:38:47,0,Vaccine appointments are available at Rite Aid Pharmacy Moderna 46 12 Greenpoint Avenue Queens NY 11104,0.4,0,1389726226894495744,1375448650365739010,nyc_vaccine,Vaccine appointments available Rite Aid Pharmacy Moderna 46 12 Greenpoint Avenue Queens NY 11104
neutral,2021-05-01 20:35:38,1,I got my 2nd moderna vaccine in February In April I had 3 periods I feel so worn out I don t know if it s vaccine related but of course I d like to know I ve also had joint pain since the vaccine,0.0,1,1388653370144182272,849410079426322432,MERDERDER,I got 2nd moderna vaccine February In April I 3 periods I feel worn I know vaccine related course I like know I also joint pain since vaccine
neutral,2021-05-03 17:37:08,0,which vaccine is offered at Humber college clinic Pfizer or Moderna,0.0,0,1389333226129330180,45742362,satinder_pal,vaccine offered Humber college clinic Pfizer Moderna
neutral,2021-05-03 15:21:16,59,Moderna Will Distribute 34 Million Doses of Covid 19 Vaccine to Struggling Countries,0.0,13,1389299036931375109,19407053,Entrepreneur,Moderna Will Distribute 34 Million Doses Covid 19 Vaccine Struggling Countries
negative,2021-05-03 14:17:37,0,Got my second Moderna shot on Thursday Grateful to all the dedicated people scientists health workers who ve made that possible Sad that rampant misinformation and distrust is hampering their efforts I wish I knew how to reach the vaccine hesitant and change their minds,-0.1666666667,0,1389283017143709697,8446722,hyloguy,Got second Moderna shot Thursday Grateful dedicated people scientists health workers made possible Sad rampant misinformation distrust hampering efforts I wish I knew reach vaccine hesitant change minds
positive,2021-04-28 17:48:09,0,Hey everyone So yesterday I got my second Moderna dose The side effects from the vaccine have been really rough on me physically I will not be making art for tomorrow for I am prioritizing rest and self care Thanks everyone for your understanding and support,0.025,0,1387524058451906562,1264331688999563265,jbuttpapercut,Hey everyone So yesterday I got second Moderna dose The side effects vaccine really rough physically I making art tomorrow I prioritizing rest self care Thanks everyone understanding support
positive,2021-04-30 19:08:22,0,Vaccine appointments are available at Walgreens Duane Reade Moderna 24 28 Bell Boulevard Queens NY 11360 800 925 4733,0.4,0,1388269024602169353,1375448650365739010,nyc_vaccine,Vaccine appointments available Walgreens Duane Reade Moderna 24 28 Bell Boulevard Queens NY 11360 800 925 4733
neutral,2021-05-02 05:30:51,0,WHO lists Moderna vaccine for emergency use,0.0,0,1388788062453391361,18029310,mangobeach,WHO lists Moderna vaccine emergency use
neutral,2021-04-29 12:15:42,3,Vaccines in Fayetteville this afternoon Cape Fear Discount Drug has Moderna J amp J shots Choose your location time and vaccine type,0.0,5,1387802784960024576,14956372,WRAL,Vaccines Fayetteville afternoon Cape Fear Discount Drug Moderna J amp J shots Choose location time vaccine type
positive,2021-04-28 18:08:00,0,I have every side effect from the Moderna vaccine I worked when I first received it amp im turning down clients now Just so I can try to recover I have no idea when I ll get better,0.1981481481,0,1387529055508082688,3070498761,asthmaticat6,I every side effect Moderna vaccine I worked I first received amp im turning clients Just I try recover I idea I get better
neutral,2021-04-29 12:15:42,0,Moderna predicts supplying between 800 million and 1 billion COVID 19 vaccine doses worldwide this year,0.0,0,1387802785673097222,15844989,WDVMTV,Moderna predicts supplying 800 million 1 billion COVID 19 vaccine doses worldwide year
positive,2021-04-28 16:01:31,13,Preliminary COVID 19 vaccine safety data shows that the Pfizer BioNTech or Moderna vaccines pose NO serious risks during pregnancy,0.1666666667,4,1387497226121871364,76761964,HealthyLivingMo,Preliminary COVID 19 vaccine safety data shows Pfizer BioNTech Moderna vaccines pose NO serious risks pregnancy
positive,2021-05-01 16:06:49,0,361 appointments may be available at Greenfield Senior Center on 05 05 2021 in Greenfield MA Moderna COVID 19 Vaccine 05 01 21 16 06 49,0.15,0,1388585722857332738,1365120364171431941,ValleyVax,361 appointments may available Greenfield Senior Center 05 05 2021 Greenfield MA Moderna COVID 19 Vaccine 05 01 21 16 06 49
neutral,2021-04-29 16:21:12,3,Fatima Big Shot by Billy Joel Gimme Something for the Pain by Bon Jovi Shot in the Arm by Wilco and for the Moderna set Dolly s version of Vaccine set to Jolene,0.0,0,1387864564184887300,174124516,segacs,Fatima Big Shot Billy Joel Gim Something Pain Bon Jovi Shot Arm Wilco Moderna set Dolly version Vaccine set Jolene
neutral,2021-04-30 14:46:58,1,This second dose of Moderna vaccine is kicking my butt,0.0,0,1388203239921881092,1365343297569501188,Rosemar29297399,This second dose Moderna vaccine kicking butt
neutral,2021-05-03 13:51:21,1,WHO Lists Moderna Vaccine For Emergency Use Africa,0.0,1,1389276407533035522,16683014,allafrica,WHO Lists Moderna Vaccine For Emergency Use Africa
positive,2021-04-30 12:59:23,1,Cool Found out moderna is liable to for vaccine side effects,0.125,0,1388176163739144192,1002002024,Grahamchad89,Cool Found moderna liable vaccine side effects
negative,2021-04-29 18:27:05,1,We have done more than any other country to help the World We finance Oxford University and the ln AstraZeneca are selling at cost Pfizer Moderna J amp J not doing that Sanofi Curevac in the EU not even made a vaccine yet They are 9 months late Liberals wrong here BBCQT,-0.10625,0,1387896244387860482,509453677,LondonNev,We done country help World We finance Oxford University ln AstraZeneca selling cost Pfizer Moderna J amp J Sanofi Curevac EU even made vaccine yet They 9 months late Liberals wrong BBCQT
positive,2021-04-28 17:39:39,20,The Indiana health commissioner says a large group of Hoosiers are anti vaccine or just don t think they need vaccinations To reduce hesitancy all mass vaccination sites will now offer Pfizer Moderna and Johnson amp Johnson vaccines,0.2142857143,4,1387521921839927303,16285710,WISH_TV,The Indiana health commissioner says large group Hoosiers anti vaccine think need vaccinations To reduce hesitancy mass vaccination sites offer Pfizer Moderna Johnson amp Johnson vaccines
negative,2021-05-01 11:56:39,78,Sorry about the lack of streams lately this Moderna Vaccine is still kicking my butt Having breathing problems since yesterday morning It s been about 72 hours since I got the 1st dose I called my doctor yesterday and I am still waiting for a call back Idk what to do,-0.2666666667,1,1388522764634517504,322151129,Stingintv,Sorry lack streams lately Moderna Vaccine still kicking butt Having breathing problems since yesterday morning It 72 hours since I got 1st dose I called doctor yesterday I still waiting call back Idk
neutral,2021-05-01 12:00:00,2,People are still wanting the J amp J and are scheduling for that vaccine A smaller number of people are signing up for the Moderna says Dr Michael Kim president of Grubb s Care Pharmacy,0.0,0,1388523607962263555,14437161,wcp,People still wanting J amp J scheduling vaccine A smaller number people signing Moderna says Dr Michael Kim president Grubb Care Pharmacy
positive,2021-05-03 16:00:07,7,Moderna MRNA O will supply 34 million doses of its COVID 19 vaccine this year and Sweden has donated 1 million AstraZeneca AZN L shots to the global COVAX programme as it struggles to secure enough supplies to inoculate the world s poorest people,0.1333333333,2,1389308810901209093,25562183,Reuters_Health,Moderna MRNA O supply 34 million doses COVID 19 vaccine year Sweden donated 1 million AstraZeneca AZN L shots global COVAX programme struggles secure enough supplies inoculate world poorest people
positive,2021-04-28 12:37:17,0,sartori He s waiting for the call for the Pfizer or Moderna vaccine And we re told to take the first one available But that s our mayor,0.325,0,1387445826839105537,3834380069,armitaylor1,sartori He waiting call Pfizer Moderna vaccine And told take first one available But mayor
neutral,2021-05-01 05:11:36,3,WHO lists Moderna s mRNA vaccine for emergency use,0.0,2,1388420830430859269,1673631277,jo_da123,WHO lists Moderna mRNA vaccine emergency use
positive,2021-05-02 18:22:11,0,Happy birthday kiddo Oh and pops don t sweat the vaccine I had my first Moderna and second sometime this coming week I had a tiny reaction but I m definitely getting the second one come hell or high water Already had Covid and that shot it s a walk in the park in comparison,0.17285714289999998,0,1388982176264359937,721375301704372224,AngieKay71,Happy birthday kiddo Oh pops sweat vaccine I first Moderna second sometime coming week I tiny reaction I definitely getting second one come hell high water Already Covid shot walk park comparison
positive,2021-04-30 15:27:42,38,Vaxed waxed and ready to save the world modernainmyveins modernasuperhero tx moderna vaccine,0.2,9,1388213490339311618,18144801,IamChrisMann,Vaxed waxed ready save world modernainmyveins modernasuperhero tx moderna vaccine
positive,2021-04-30 16:16:54,0,Vaccine appointments are available at Walgreens Duane Reade Moderna 758 Arthur Kill Road Staten Island NY 10312 800 925 4733,0.4,0,1388225873321549824,1375448650365739010,nyc_vaccine,Vaccine appointments available Walgreens Duane Reade Moderna 758 Arthur Kill Road Staten Island NY 10312 800 925 4733
negative,2021-05-02 07:20:20,1,Vaccine messed her up pretty bad cant walk or pee anymore 12 yr old Maddie who is now paralyzed waist down after she took the Moderna shot DangerousMrnaVaccine KillerVaccines VaccineDeaths EducateBeforeYouVaccinate LearnTheRisk,-0.1263888889,1,1388815617810001929,2227722763,anisaz9_basit,Vaccine messed pretty bad cant walk pee anymore 12 yr old Maddie paralyzed waist took Moderna shot DangerousMrnaVaccine KillerVaccines VaccineDeaths EducateBeforeYouVaccinate LearnTheRisk
neutral,2021-05-02 18:34:04,0,U need to let the public know what the cause of death SmartNews and read Orange County woman s death after 2nd dose of Moderna vaccine spurs concern from family here To read it on the web tap here,0.0,1,1388985168484913153,1349407720890200064,ware_thom,U need let public know cause death SmartNews read Orange County woman death 2nd dose Moderna vaccine spurs concern family To read web tap
positive,2021-04-29 16:14:44,0,Vaccine appointments are available at Walgreens Duane Reade Moderna 250 Bedford Avenue Brooklyn NY 11249 800 925 4733,0.4,0,1387862938279624713,1375448650365739010,nyc_vaccine,Vaccine appointments available Walgreens Duane Reade Moderna 250 Bedford Avenue Brooklyn NY 11249 800 925 4733
positive,2021-05-01 10:42:37,0,623 appointments available at Berkshire Community College Field House in Pittsfield MA on 05 04 2021 for Moderna COVID 19 Vaccine Pfizer BioNTech COVID 19 Vaccine Check eligibility and sign up at,0.4,0,1388504134295461892,1359258716298764296,vaccinetime,623 appointments available Berkshire Community College Field House Pittsfield MA 05 04 2021 Moderna COVID 19 Vaccine Pfizer BioNTech COVID 19 Vaccine Check eligibility sign
neutral,2021-05-03 18:59:34,1,When I signed up through my county I could chose a location and they had the vaccine listed I got what was closest but I could have picked either Moderna or J amp J,0.0,0,1389353970246856707,1353337217075306496,cj_hershey,When I signed county I could chose location vaccine listed I got closest I could picked either Moderna J amp J
positive,2021-04-28 12:40:11,2,Moderna vaccine appointments are still available for EIU students and staff gt,0.4,1,1387446559680475146,333405501,WEIUNewsWatch,Moderna vaccine appointments still available EIU students staff gt
positive,2021-05-04 11:55:02,2,AstraZeneca vaccine used in Saskatchewan has come from India and USA All of India sourced now staying there to deal with rising cases Increasing likelihood 2nd doses for AZ recipients likely to be mRNA from Pfizer or Moderna Studies under way that look promising,0.0666666667,0,1389609523917193217,270402479,BrianFergusson,AstraZeneca vaccine used Saskatchewan come India USA All India sourced staying deal rising cases Increasing likelihood 2nd doses AZ recipients likely mRNA Pfizer Moderna Studies way look promising
positive,2021-05-04 19:39:12,0,Vaccine appointments are available at Rite Aid Pharmacy Moderna 4159 White Plains Road Bronx NY 10466,0.2,0,1389726334843244550,1375448650365739010,nyc_vaccine,Vaccine appointments available Rite Aid Pharmacy Moderna 4159 White Plains Road Bronx NY 10466
neutral,2021-04-30 18:03:20,4,Orange County woman s death after 2nd dose of Moderna vaccine spurs concern from family via,0.0,3,1388252658461519877,2194445555,jtoc_toc,Orange County woman death 2nd dose Moderna vaccine spurs concern family via
negative,2021-04-29 14:49:31,1,lord have mercy on my soul getting the moderna today but I ve already been suffering through awful allergies for a few weeks now so I m SUPER nervous about the vaccine side effects on top of that,-0.0916666667,0,1387841494812303363,1356482531911032834,confettibunny,lord mercy soul getting moderna today I already suffering awful allergies weeks I SUPER nervous vaccine side effects top
positive,2021-05-01 17:15:12,0,If WHO lists Moderna Covid19 vaccine for emergency use only why should any American most who have a 99 7 99 998 recovery rate be forced to take the vaccine amp why would anyone shld anyone who has natural immunity fr having Covid take it,0.06,0,1388602930257965058,84091971,PeterDawsonUSA,If WHO lists Moderna Covid19 vaccine emergency use American 99 7 99 998 recovery rate forced take vaccine amp would anyone shld anyone natural immunity fr Covid take
positive,2021-05-01 03:50:05,0,So I had my 1st dose of the Moderna vaccine 37 hours ago and by the time I went to bed last night I noticed only my arm was sore no other side effects But tonight I can t stand up without feeling like I m going to pass out can t get a full breath fever chills blah,0.103125,0,1388400316056432641,70051463,samiamnurnot,So I 1st dose Moderna vaccine 37 hours ago time I went bed last night I noticed arm sore side effects But tonight I stand without feeling like I going pass get full breath fever chills blah
positive,2021-05-04 15:33:55,2,Are you incapable of processing simple information The vaccine underwent testing and has been administered to millions of people on a large scale As of now no serious adverse effects are related to the Moderna or Pfizer vaccine,0.0952380952,0,1389664604188561409,1249480950699806721,CExecuted,Are incapable processing simple information The vaccine underwent testing administered millions people large scale As serious adverse effects related Moderna Pfizer vaccine
neutral,2021-04-30 13:35:03,1,VACCINE DISTRIBUTION USA Pfizer 159 808 155 doses distributed 80 of May 31 goal Moderna 130 927 600 doses distributed 65 of May 31 goal Johnson amp Johnson 18 038 400 doses distributed 18 of June 30 goal,0.0,0,1388185141525237760,1250583691757305863,Covid19_NC,VACCINE DISTRIBUTION USA Pfizer 159 808 155 doses distributed 80 May 31 goal Moderna 130 927 600 doses distributed 65 May 31 goal Johnson amp Johnson 18 038 400 doses distributed 18 June 30 goal
negative,2021-04-28 16:26:34,1,Feeling fatigue a few hours after the second Moderna vaccine Usual,-0.15,0,1387503528923570185,80196269,rugcernie,Feeling fatigue hours second Moderna vaccine Usual
negative,2021-05-03 12:23:49,1,Which Vaccine is THIS vaccine Pfizer J amp J Moderna because we have 3 Vaccines with Moderna being one that was developed by a Black Doctor,-0.033333333300000004,0,1389254379656474627,2646543620,LosFuego,Which Vaccine THIS vaccine Pfizer J amp J Moderna 3 Vaccines Moderna one developed Black Doctor
