analysis,created_time,favorite_count,full_text,polarity,retweet_count,tweet_id,user_id,username
positive,2021-05-02 10:49:59,0,And by April 30th was able to book an appointment for the following week at a Hamilton Covid vaccine centre where they re administering doses from either Moderna or Pfizer Excellent site app very simple to use fast amp efficient You can also book 2nd dose 16 weeks later,0.2428571429,0,1388868375816937473,454597307,HRHDMK
positive,2021-05-01 13:27:53,0,Or if your arm is sore From the Covid vaccine take some aspirin or when I got my first covid shot my arm started to hurt Johnson and Johnson vaccines may have COVID arm delay side effects same with Pfizer and Moderna talk to your Doctor about getting your vaccine I did,0.125,0,1388545724774711296,1372271810029391875,KHJM606Justin
positive,2021-04-28 16:57:19,0,Pfizer and Moderna Begin COVID Vaccine Trials on Children as Young as 6 Months Old People,0.1,0,1387511269306011661,2518890242,BlendPolitics
positive,2021-05-02 07:26:45,4,This is very concerning please search this US government database for VAERS ID 1242573 and see for yourself A previously healthy 15 year old died of cardiac failure two days after receiving Pfizer Covid vaccine,0.0866666667,2,1388817230281027589,748163236479000576,TonyHinton2016
positive,2021-04-29 16:47:54,2,New opening at Rebel Med NW COVID Vaccine Clinic Moderna Seattle CovidWaKingCounty,0.1363636364,1,1387871286777552902,1356738034901819392,covidwashington
neutral,2021-05-04 12:54:29,0,BBC News Pfizer expects Covid vaccine demand for years,0.0,0,1389624482961240075,309880750,danieltheman24
neutral,2021-05-01 08:39:16,10,LOOKING FOR A COVID VACCINE Come to If you still haven t gotten your COVID 19 vaccine you can come get one at Truist Park today from 9a to 5p You do need to pre register at,0.0,6,1388473090640863234,739819117927096320,BrookeZaunerTV
positive,2021-05-04 13:26:45,0,Pfizer Stock Just Below Buy Zone After Covid Vaccine Sales Crush Forecasts Investor s Business Daily Pfizer said Tuesday it plans to seek full FDA approval for its Covid 19 vaccine by the end of the month guestpost guestposting guestpostservices,0.175,1,1389632604832296960,730225535402401793,77jjeb
neutral,2021-04-28 19:41:34,0,Rite Aid COVID Vaccine Appointments Update netde Sussex County N Dupont Blvd Milford Pfizer Thurs Apr 29 Sat May 1 Tues May 4 Sat May 8 Tues May 11 Sat May 15,0.0,0,1387552604138393604,1216531677603860480,CaffeinatedI
positive,2021-04-29 19:20:16,0,Wheel Marie70 Franchize Your screenshot is not a legal ruling It is an argument being made claiming there is legal grounds to prevent employers from mandating the covid vaccine A number of legal experts disagree with that argument,0.1,0,1387909630546825221,169751538,CTRiti
positive,2021-04-29 14:46:15,19,Great day vaccinating with colleagues Was lovely to see getting her second Covid vaccine by CAMHS matron Lee Lowell,0.4333333333,2,1387840669926965249,3330022438,Julie100k
positive,2021-05-03 17:18:24,2,Kids 12 and older may be eligible for the COVID vaccine by next week,0.0833333333,4,1389328514441175042,14412101,danielle_ivory
neutral,2021-04-30 15:02:22,3,Pfizer Inc will next week start supplying Canada with Covid vaccine made in its US plant federal procurement minister Anita Anand told a briefing,0.0,1,1388207113164365824,1185531782952816640,The12fthOfNever
neutral,2021-05-04 14:39:51,0,Pfizer Will Seek Approval to Give Covid Vaccine to Children,0.0,0,1389650998554103808,1290936204817440768,LatestN72062740
positive,2021-04-28 16:12:40,1,UK has bought 60million more doses of Pfizer s Covid vaccine to supply autumn booster jabs to cut the risk of mutated variants Matt Hancock reveals via,0.5,0,1387500030722981894,77067244,CarolPoyerPeett
positive,2021-04-29 17:52:30,0,Caribbean Super Power Cuba is racing towards potentially becoming the first country in Latin America to develop its own COVID vaccine Two of its five experimental shots have reached final stage trials,0.2888888889,0,1387887541597184001,727316106843574272,BagalueSunab
neutral,2021-05-04 17:16:26,0,Pfizer expects 26 billion in 2021 sales from COVID vaccine via,0.0,0,1389690405801897985,1575659701,kursadturksen
negative,2021-05-03 18:38:33,0,FDA expected to authorize Pfizer s Covid vaccine for teens ages 12 15 by next WEEK,-0.05,0,1389348683884371968,232908057,worldnewstweet_
positive,2021-04-30 12:41:58,135,More COVID vaccine notified late yesterday about additional Pfizer allocated to this region for next week This means additional appointments for people 55 and others who are eligible at North London Optimist Community Centre on May 6th,0.0666666667,27,1388171782633500678,3145930709,Healthmac
positive,2021-04-30 16:25:10,0,Need a COVID vaccine Come see us Appointments walk ins are available today from 4 6p at the former Knights of Columbus Hall 810 S Cable Rd Lima Moderna vaccine and Johnson amp Johnson vaccine are available to anyone 18 You can register online at,0.2666666667,1,1388227952354148352,2165304451,ACPublicHealth
negative,2021-05-01 11:51:04,0,Rudy if you know some one like Darrel isas to drive up here and close the pot shops That are tied to the corrupt sheriff s involved in human trafficking drug dealing and moderna Which is odd What is a seed company doing with a covid vaccine And the profits of the pot shops,-0.2222222222,0,1388521362407387142,1388247843505201157,BryanMc03419254
positive,2021-04-28 14:36:05,0,Do you remenber when vaccines were ONE unique doses Pfizer CEO says third Covid vaccine dose likely needed within 12 months,0.125,0,1387475726425788424,271389271,cesarpeixotof1
positive,2021-05-04 16:22:42,0,Pfizer COVID vaccine for adolescents boasting 100 efficacy could be authorized by early next week CBS News,0.05,0,1389676883697090570,1007725923720835072,NewsfeedsMedia
neutral,2021-05-04 13:04:06,0,Pfizer expects Covid vaccine demand for years BBC News BBC via,0.0,0,1389626903657533444,14158133,arvindmahajan
neutral,2021-04-28 15:14:33,0,Wonder if the Viagra team eats lunch with the Covid vaccine team at Pfizer,0.0,0,1387485405986004996,622490244,billysottile
positive,2021-04-28 14:35:51,2,Need a COVID vaccine in Austin Delco Center is wide open Come in for free Moderna COVID vaccine,0.05,1,1387475666111696904,1199219402,mtvtrevino
positive,2021-04-28 14:51:11,4,After my covid vaccine J amp J I had a high fever I though I did not have hallucinations then realized I spent the entire night thinking I was a protein and kept turning in bed to help myself fold properly Can you guess which protein I was phdlife,0.015,0,1387479525139886085,2940848751,chiara_masnovo
neutral,2021-04-30 11:47:02,0,This headline should read Pfizer BioNTech it s Covid vaccine for NAFDAC use,0.0,0,1388157959352590343,100441955,124seal
neutral,2021-04-30 15:41:41,3,I m at the point where my piss is indistinguishable from the pfizer covid vaccine,0.0,0,1388217007468855300,1350377846703874048,LoliKneepits
positive,2021-04-29 19:46:44,91,Joe Rogan back peddles after telling young Americans not to get COVID vaccine,0.05,27,1387916292032716800,17469289,nypost
neutral,2021-05-04 13:10:54,0,COVID vaccine boosters might be a patch or a pill CBS News covid healthcare medicine,0.0,0,1389628613323075588,14454985,Fleetwing
negative,2021-05-02 18:11:37,1,Canada s NACI and ShelleyDeeks say 16 wks is the medically recommended interval between covid vaccine shots 21 days is the only medically validated interval from the suppliers like Very disappointing and seemingly made up medically validation,-0.156,0,1388979518019354625,136640171,garethseltzer
negative,2021-04-29 14:13:57,0,The vaccine requires 380 separate components holly shit I would have thought a dozen or so Pfizer vaccine covid Pfizer Covid vaccine plant in Belgium speeds up production The Times of London,-0.2,0,1387832542540099584,118188823,DarwinBedford
neutral,2021-05-01 14:21:06,0,Pfizer Helped Create the Global Patent Rules Now it s Using Them to Undercut Access to the Covid Vaccine,0.0,0,1388559119272095753,716905889,buddy_dek
positive,2021-04-28 15:19:15,16,Grateful for my first Covid vaccine shot Can t wait to be fully vaccinated once I get my second one Please remember that skipping the second dose puts you and others at unnecessary risk To learn more please go to SecondShot,0.07,2,1387486587810828290,1338513541264007169,AllenforMA
neutral,2021-05-03 16:56:45,18,Now I want to outlive the COVID vaccine patents for Pfizer and Moderna,0.0,1,1389323063527976961,1731805261,thrasherxy
neutral,2021-04-29 10:37:51,6,MRNA now expects to deliver 800 million to 1 billion doses of its Covid vaccine in 2021 and 3 billion doses in 2022 The latter number is flexible based on the need for lower dose boosters and pediatric shots stocks investingnews biotech,0.0,1,1387778158318002182,3300865039,IBD_AGatlin
neutral,2021-04-28 12:33:23,0,We ve ordered an extra 60 million doses of the Pfizer BioNTech Covid vaccine for autumn but unclear whether we re expecting it to tackle variants,0.0,0,1387444845158060038,482088337,JanekirbyPA
neutral,2021-05-01 21:40:00,39,Starting Sunday you can choose between the Johnson amp Johnson or Pfizer COVID vaccine at NRG Park,0.0,10,1388669571259904000,15791186,KHOU
neutral,2021-05-04 14:15:15,0,Buckle up baby Pfizer expects Covid vaccine demand for years,0.0,0,1389644808231153669,391894202,kevnyker
positive,2021-05-04 19:00:20,0,A special event happening tomorrow at the Lincoln Recreation Center in College Station Have you gotten a COVID vaccine I have an update on Vaccine Strike Team,0.1285714286,0,1389716552916914177,205388358,ClayFalls
positive,2021-04-29 18:22:38,0,New opening at Eastside Integrated Primary Care Covid Vaccine Site Moderna Bellevue CovidWaKingCounty,0.2681818182,0,1387895127046299656,1356738034901819392,covidwashington
neutral,2021-05-04 15:16:04,111,India is being devastated by the COVID 19 pandemic I joined 110 of my colleagues demanding support a TRIPSWaiver so the world has access to life saving COVID vaccines We must put people s lives over Big Pharma s profits FreeTheVaccine,0.0,39,1389660113070436358,1206227149,repmarkpocan
negative,2021-04-30 12:26:21,22,This analysis seems simplistic amp does not make sense The report says J amp J s covid vaccine has a 164x rate of syncope vs influenza vaccine That seems like it may be related to the vaccine,-0.25,3,1388167853413748740,1511018348,9Joe9
neutral,2021-05-04 13:29:03,1,Yeh nahi jaane wala covid Pfizer expects Covid vaccine demand for years,0.0,0,1389633180961939458,241551618,sudhirsaxena18
neutral,2021-04-30 12:52:15,3,Pfizer BioNTech Seek Covid Vaccine Authorization For Kids,0.0,0,1388174369524895748,2772524179,etvandhraprades
positive,2021-05-04 13:22:26,1,wearethestorm W H threatens to fire FDA chief unless Pfizer Covid vaccine approved Friday White House chief of staff Mark Meadows told head of the FDA to submit his resignation if the agency doesn t clear Pfizer s vaccine for EUA by day s end,0.05,0,1389631516725190657,1230547643308412930,AndersJonita
positive,2021-04-30 18:18:03,0,New opening at Rebel Med NW COVID Vaccine Clinic Moderna Seattle CovidWaKingCounty,0.1363636364,1,1388256359909629960,1356738034901819392,covidwashington
positive,2021-04-29 13:49:33,0,New post All 6 N J COVID Vaccine Megasites Offering Walk in Shots has been published on New Providence,0.1363636364,0,1387826401227726849,1965337987,newprovnj
neutral,2021-05-02 11:34:37,0,Pfizer will ship 4 5 million doses of its Covid vaccines to South Africa by June helping the nation ramp up its inoculation drive,0.0,0,1388879607084982275,570927672,marketstodays
neutral,2021-05-04 13:21:50,0,Pfizer says COVID vaccine generated 3 5 billion in revenue in Q1 Axios,0.0,0,1389631368288772097,1260193810375639040,SWCC5
neutral,2021-04-29 12:52:27,1,Moderna ups COVID vaccine production,0.0,0,1387812032137867267,108319677,KCBD11
positive,2021-05-03 15:43:28,0,12 N J breweries offer free beer to those who get COVID vaccine shots this month breweriestoban lostmybusiness discrimination breweriestoavoid NojabNobeer,0.4,0,1389304620728606727,924563533,genuine2thebone
neutral,2021-04-30 12:42:40,0,NAFDAC approves the use of Pfizer BioNTech Covid vaccine,0.0,0,1388171956365799426,1709411328,myESQLegal
neutral,2021-05-04 12:47:33,0,Demand for Pfizer s Covid vaccine could bolster its revenues for years the US drugs giant has said Pfizer said it was expecting durable demand for the vaccine in a similar way to flu vaccines,0.0,0,1389622738759950343,4258213360,KhajaShakir
positive,2021-04-30 12:43:33,2,The Regional Collaborative Covid Vaccine site is accepting appointments for the Moderna Vaccine You must be 18 or older to sign up Pre register at or Castle of Knights 1599 Memorial Drive Chicopee MA 01020 COVID19,0.1666666667,1,1388172178743562240,1343081497188855808,AdamGomezMA
negative,2021-05-03 12:30:00,0,There s no reason why antibodies from the COVID vaccine would mean you can t donate plasma said Dr Dirk Sostman with Houston Methodist,-0.3125,0,1389255935290482695,17187236,12News
neutral,2021-05-02 03:59:07,1,NHS draws up Pfizer Covid vaccine plan for schoolchildren News The Sunday Times,0.0,0,1388764979583668225,1218142222098599938,LucyGoBag
neutral,2021-05-03 18:59:58,0,Pfizer pushes for COVID vaccine approval in India SmartNews,0.0,0,1389354072109502468,1270923123471208448,lopamud12241057
neutral,2021-04-29 19:12:51,147,Wore my Dolly Parton inspired dress to get my second Moderna COVID vaccine shot Thank you,0.0,0,1387907761699098625,121199913,Peril_in_Pink
neutral,2021-05-02 09:03:52,0,Where are the women leaders speakers and innovators please Pfizer BioNTech covid vaccine invented by a woman and man team,0.0,0,1388841670498824198,3814851867,DepilatoCosm
positive,2021-05-02 11:43:51,4,So now the story will be about those who REFUSE to be vaccinated and how the Republicans will protect that choice The GOP is very pro choice in this instance Iowa turns down 71 of COVID vaccine offered by feds as demand continues to drop,0.0222222222,2,1388881934282002436,19133054,scottinankeny
neutral,2021-05-04 11:49:02,0,Pfizer expects Covid vaccine demand for years,0.0,0,1389608012986425345,1243556481137598464,Margare96602396
positive,2021-05-01 22:37:40,2,I loved this NYT peace explaining how the RNA covid vaccine are made Large scale molecular biology 101,0.4571428571,0,1388684083488776201,1234507998564962305,IsslerOrna
neutral,2021-05-03 12:26:26,13,Johnson amp Johnson COVID Vaccine Halted in Denmark Over Blood Clot Fears,0.0,7,1389255038455980037,1341785158576467968,Undergroundsar3
positive,2021-05-02 03:46:10,8,About 16 Crores vaccinated across India so far 86 023 beneficiaries aged 18 44 yrs get COVID vaccine 3 07 865 persons were discharged from the hospitals Positive cases reported 3 92 Lakhs Karnataka eases restrictions,0.0757575758,3,1388761720559079425,602767623,RomeshNadir
positive,2021-05-04 17:42:49,14,COVID Vaccine Update The University is now offering appointments for both first and second Moderna vaccine doses at this week s clinics,0.125,1,1389697045506711556,104561488,BU_Tweets
neutral,2021-05-04 12:08:25,0,Pfizer reaps hundreds of millions in profits from Covid vaccine,0.0,1,1389612890991185927,114707915,prasadhemant
neutral,2021-05-04 12:44:35,0,We asked Dr Danielle Jones to clarify reports and rumors the COVID vaccines could affect your cycle Watch back the on air convo to find out what we learned here,0.0,0,1389621991708274688,20467147,SL100
negative,2021-04-28 17:14:25,0,bhagat Covid vaccine Sputnik safest Pfizer s shot worst Row over Hungary data,-1.0,1,1387515570703069184,1250035338728243201,Manups68630486
neutral,2021-04-29 14:37:31,0,Looking for a local COVID Vaccine site Doctors Rx has teamed up with Lindenhurst Family Practice to host a vaccination clinic this Wednesday May 5th 3021 Falling Waters Blvd To register COVID19 COVID19Vaccine moderna Pfizer lindenhurstil,0.0,0,1387838471541297164,3191885049,LindenhurstVOL
negative,2021-04-28 14:21:22,2,WTF Just Happened stream is postponed for tonight I m pushing it to Friday at 8pm EST so I can rest after taking this second shot of Pfizer Covid Vaccine,-0.25,0,1387472023186780163,25344458,DJ81
neutral,2021-04-28 17:27:27,3,An extra 60 million doses of the Pfizer BioNTech Covid vaccine have been ordered by the UK government as it puts together plans for a vaccination booster programme in the autumn,0.0,0,1387518848728027137,254082580,SteveBray999
positive,2021-05-03 18:10:04,0,Told India No Safety Concerns With Covid Vaccine Says Pfizer Pfizer reiterated that doses will be supplied only through government contracts File New Delhi Pfizer said on Monday it told the Indian government t,0.0681818182,0,1389341514405498881,1334017178,allplacesmap
neutral,2021-05-04 18:27:45,0,As Big Pharma Fights Off Patent Waiver Pfizer Reports Hundreds of Millions in Profits From Covid Vaccine via,0.0,0,1389708352448389123,1363649877637435395,jaywill73097884
neutral,2021-04-30 10:55:40,1,Immunizations are supposed to render you immune to a disease If the COVID vaccine doesn t make you immune to COVID why get it,0.0,0,1388145030364209153,1330332584627277825,ChanReborn
positive,2021-05-01 23:03:18,2,robert Trying to be kind Worldwide there gas been twenty something Pfizer and a similar amount of AstraZeneca deaths You have more chance of dying from gun violence in the US than the Covid vaccine Women have more chance of dying from the pill,0.4,0,1388690532398948352,958838372,buleste
positive,2021-05-02 16:49:37,4,someone hands me a kettle full of a covid vaccine but i don t want it no thank you i m rejecting moderna tea,0.35,0,1388958882899189761,2305972962,br191d
negative,2021-05-01 06:37:06,0,Dear concerned department I have been trying from last 20 days to book an appointment for Pfizer covid vaccine but unfortunately the sehaty apps keep saying that the vaccine centre is not available right though the man besides me book almost every time Please help me,-0.1035714286,0,1388442347646689280,1437967723,Saifahmri
positive,2021-04-30 12:38:56,1,Got my first Moderna Covid Vaccine shot Waiting to see if I got any adverse effects My heart is racing,0.25,0,1388171020113047553,24331697,Rootfish
neutral,2021-05-01 08:57:42,0,Why Pfizer s Covid Vaccine Was Not Granted Approval In India For Emergency Usage,0.0,0,1388477731793301510,287764884,anilbhati12
positive,2021-04-30 16:45:00,15,Pfizer and BioNTech apply to make their COVID vaccine available to adolescents,0.4,10,1388232942246252546,64643056,RT_com
negative,2021-04-28 18:11:06,1,Pfizer says its COVID vaccine tested well for children ages 12 to 15 FDA to consider final approval for wide use KTVI Fox 2 St Louis,-0.05,0,1387529835329712130,1129062072862437377,GenBioUSA
positive,2021-04-30 10:31:13,3,Starting Saturday D C will offer COVID vaccines to anyone who goes to 11 high capacity sites Each site will offer either Pfizer Moderna or Johnson amp Johnson shots on Saturday,0.08,5,1388138878431805444,14980820,nbcwashington
positive,2021-04-28 16:15:14,0,You re referring to the COVID vaccine not all vaccines right Because we ve got a lot of data that all the normal kid vaccines are safe We got some data that the Moderna and Pfizer COVID vaccines are safe for kids the AstraZeneca and J amp J vaccines realistically are as well,0.3589285714,0,1387500676142534665,29894847,kylegrantham
neutral,2021-04-29 18:26:07,0,Pfizer to ship COVID vaccine in smaller packages KYTX,0.0,0,1387896001394929666,1129062072862437377,GenBioUSA
neutral,2021-04-29 17:49:59,0,Cuba could be closing in on COVID vaccine sovereignty Coronavirus pandemic News Al Jazeera via,0.0,0,1387886908668325896,2647515934,Niko1721
neutral,2021-04-28 15:16:36,6,Pfizer s COVID vaccine may trigger herpes virus that causes shingles study says News LifeSite,0.0,7,1387485921663193090,1894536019,thewriterme
neutral,2021-05-04 19:15:33,0,As Big Pharma Fights Off Patent Waiver Pfizer Reports Hundreds of Millions in Profits From Covid Vaccine via,0.0,0,1389720381896941570,865209350,ScotCharlotte
negative,2021-04-30 15:08:28,2,Needle Anxiety Behind J amp J COVID Vaccine Reaction Clusters Study,-0.4,1,1388208648401326083,17053535,Drugscom
positive,2021-04-30 18:29:13,1,Got my first Pfizer covid vaccine today for 16 and older and I gotta say I recommend people like me that travel for sports and etc do it coz it s gonna help u and our immune system is more stronger than older people,0.2708333333,0,1388259169082372097,1349277715950563329,Laura83858669
negative,2021-05-01 14:34:10,0,Needle Anxiety Behind J amp J COVID Vaccine Reaction Clusters Study MedNews,-0.4,0,1388562405576347652,731568881131790336,_edwardmondini_
neutral,2021-04-30 12:10:41,52,After your second dose of Pfizer or Moderna Covid Vaccine the CDC recommends dismantling the systemic inequalities of capitalism,0.0,14,1388163908406444034,1027191889,inventmattt
negative,2021-05-03 18:03:05,5,The FDA is reportedly preparing to authorize the use of the Pfizer COVID vaccine for kids aged 12 15 years within the next week,-0.05,5,1389339756019044352,45565185,intelligencer
neutral,2021-05-01 16:58:09,0,Vietnam has offered to share the technology for its COVID vaccine candidate,0.0,0,1388598641133301762,1422022615,MaatMHI
neutral,2021-05-04 11:48:29,0,Pfizer expects Covid vaccine demand for years COVID19 coronavirus,0.0,0,1389607876117901312,167419922,matisaksk
positive,2021-04-30 17:36:42,0,Young people and women more likely to report Pfizer AstraZeneca COVID vaccine side effects UK survey shows,0.2,0,1388245956231979008,3698221,retep57
negative,2021-05-01 14:45:18,0,From this other research COVID Vaccine Bio Weaponizes Humans Kills The Unvaccinated Too it include ailments other than the ones in the Pfizer report,-0.125,0,1388565206658207745,838196271571591168,WendyPa37526581
negative,2021-05-02 09:27:50,0,Well done THE TIMES gave the NHS a mention NHS draws up Pfizer Covid vaccine plan for schoolchildren Secondary pupils may be offered single jab,-0.1857142857,0,1388847703367507971,252287213,pedromakee
positive,2021-05-01 16:58:33,0,Got my COVID vaccine on Friday morning at 9am I got Bill Gate s microchip Pfizer jab absolutely no side effects other than a bit stiff around the injection point same as all vaccines I have ever had amp a strange urge to buy Microsoft products all good troops,0.0351190476,0,1388598742358634497,924225604412694528,Patrick96675442
positive,2021-04-28 15:49:20,8,Pfizer and Moderna Begin COVID Vaccine Trials on Children as Young as 6 Months Old,0.1,5,1387494160836427780,243665363,mongeliliana
positive,2021-04-28 12:39:54,3,amber17 Funding and they ve been developing a COVID vaccine since SARs broke out in 2003 More information is listed below,0.5,0,1387446486707937287,391018306,kvioinn
neutral,2021-04-29 16:09:34,0,All 6 N J COVID vaccine mega sites offering walk in shots starting today,0.0,0,1387861639571988480,4725957312,TheRadioTFI
neutral,2021-05-04 19:12:37,0,Restrict J amp J COVID Vaccine in Women Under 50,0.0,0,1389719644198555652,360220091,Dataemia
positive,2021-04-30 13:19:29,4,Got approval from my doctor that I should be set to have the Covid vaccine as long as I m careful about watching for an adverse reaction and have my hospital bag packed just in case So the appointment for my first dose of Pfizer is this afternoon,0.0333333333,0,1388181222925344768,1285354467693453312,MapleRiverPanda
positive,2021-05-02 16:13:18,1,Equitable distribution is a real issue production is an issue materials is an issue but specifically waiving Covid vaccine intellectual property has not been Whether vaccine IP is waived or not is not going to produce more doses anytime soon,0.3333333333,0,1388949742609043457,871913498367995905,DietSocDem
positive,2021-05-04 18:00:33,0,On May 11 2021 we are offering a Special COVID Vaccine Clinic Morning appointments for Moderna vaccine and afternoon appointments for Johnson amp Johnson vaccine are available now,0.3785714286,0,1389701506778161154,940310669001342976,TooeleHealth
positive,2021-05-04 15:52:05,0,Covid vaccine booster Pfizer expects elderly those with health conditions to be first,0.25,0,1389669176256565248,1194477222,DavidJSimmons01
neutral,2021-04-28 15:34:32,0,Pfizer CEO says third Covid vaccine dose likely needed within 12 months,0.0,0,1387490433949896710,1224781103946502145,bbc_woke
positive,2021-04-28 18:47:03,0,Another N J college to require students to get COVID vaccine Thanks Drew Spiffy Fark,0.2,0,1387538882053361670,838321345570156545,rogue_corq
neutral,2021-04-29 18:21:19,2,If you know anyone who still needs a COVID vaccine there will be a walk in event this Saturday at UNCA It s the J amp J shot so it s one and done 10 AM 1 PM,0.0,4,1387894792701546496,1105285683667759105,BrianCaskeyNC
neutral,2021-05-03 18:43:40,1,BREAKING FDA set to approve Pfizer Covid vaccine for kids ages 12 15,0.0,0,1389349969379958789,1112554170,EdGreenberger
neutral,2021-05-03 12:55:58,15,JUST GOT MY COVID VACCINE Pfizer squad what up,0.0,0,1389262470196367366,231561646,davidacosta95
neutral,2021-05-01 14:57:12,1,What Women Need to Know About the Covid Vaccine,0.0,1,1388568203786346496,803962240999243776,HerStoryAL
positive,2021-05-04 13:16:39,0,Pfizer plans to submit for full approval of Covid vaccine in late May Pfizer has signed a supply agreement with Israel to provide enough Covid shots to protect every eligible citizen in 2022,0.0166666667,0,1389630061435781120,89274459,Micro1028
